,number,author,life,title,position
0,* ,"Alaux, Jean", (1786-1864'). ,Poussin arrivant de Rome est présenté par Richelieu au roi Louis XIII. Plafond.,Ire S. de la Céramique antique
1,* ,"Alaux, Jean", (1786-1864'). ,Douze médaillons d'or représentant les travaux d' Hercule. Voussures.,Ire S. de la Céramique antique
2,2 ,"Aligny, Claude-François-Théodore Caruelle d'.", (r 798- 1871). ,Une villa itaJienne. ,VIII-E
3,S. N° ,Amaury-Duval., (1808-1885). ,Portrait de Mille X,Palier esc.T.T.
4,9 ,Aved. André-Joseph., (1702-1766). ,Portrait du marquis de Mirabeau. ,XVI-S
5,* ,"Balze, Paul-Jean-Etienne.", (1815-1884) ,"et Balze, Raymond-Joseph-Antoine. ( 1818-1909). Homère déifié, d'après Ingres. Plafond.","Musée Charles X Salle IX Baptiste, J.-B. Monnoyer dit. Voir Monnoyer."
6,2800 ,"Barye, Antoine-Louis.", (1795-1875). ,Lions près de leur antre. ,T. T.
7,(209) ,"Barye, Antoine-Louis.", (1795-1875). ,Tigre cherchant une proie. Aquarelle,Coll. Camondo
8,"S. N"" ","Barye, Antoine-Louis.", (1795-1875). ,Portrait d'une fille de l'artiste.,S. Barye
9,"S. N"" ","Barye, Antoine-Louis.", (1795-1875). ,"Le Jean-de-Paris, forêt de Fontainebleau",S. Barye
10,"S. N"" ","Barye, Antoine-Louis.", (1795-1875). ,Combat de cerfs.,S. Barye
11,"S. N"" ","Barye, Antoine-Louis.", (1795-1875). ,Lion mangeant,S. Barye
12,11 a ,"Bastien-Lepage, Jules.", (1848-1884). ,Portrait de Henri Wallon ,E. F. XIX S. 2e étage II
13,S. N° ,"Bastien-Lepage, Jules.", (1848-1884). ,"Portrait d'Edouard, Prince de Galles, plus tard Edouard VII.",E. F. XIX S. 2e étage II
14,12 ,"Baugin, Lubin.", (vers 1610-1663). ,La Sainte Famille ,XIV-S
15,12 a ,"Bellangé, Hippolyte.", (1800-1866) ,"et Dauzats, Adrien. (1804-1868). — Une revue sous l'Empire, aux Tuileries. ",E. F. XIXe S. 2e étage II
16,995 ,"Bellechose, Henri"," (travaillait à Dijon de 1415 à 1431, mort vers 1440). ","La dernière communion et le martyre de saint Denis, premier évêque de Paris.","E. F. XIXe , , , X"
17,13 a ,"Bellegambe, Jean.", (I4 70 ? - 1535). ,Saint Adrien (Attribué). ,X
18,13 b ,"Belloc, Jean-Hilaire.", (1786-1866). ,Portrait de Mille Belloc et de sa fille; dans le fond le peintre lui-même,Esc. T. T.
19,14 ,"Belly, Léon-Auguste-Adolphe.", (1827-1N77). ,Pèlerins allant à la Mecque ,E. F. XIXe S. 2e étage II
20,14 a ,"Belly, Léon-Auguste-Adolphe.", (1827-1N77). ,Vue du Nil.,E. F. XIXe S. 2e étage II
21,14 b ,"Belly, Léon-Auguste-Adolphe.", (1827-1N77). ,Pêcheurs le soir.,E. F. XIXe S. 2e étage II
22,16 ,"Benoist, Marie-Guilhelmine.", (r 768- l 86). ,Portrait d'une négresse. ,II-E
23,17 ,"Benouville, François-Léon.", (1821-1859». ,"Saint François d'Assise, transporté mourant à SainteMarie-des-Anges, bénit la ville d'Assise. ",VIII-0
24,20 ,"Bidault, Jean-Joseph-Xavier.", (1758-1846). ,Vue prise de Subiaco ,E. F. XIXe S. 1er étage I
25,21 ,"Bidault, Jean-Joseph-Xavier.", (1758-1846). ,Vue d'Avezzano et du lac de Celano,E. F. XIXe S. 1er étage I
26,* ,"Biennoury, Victor-François-Eloi.", (1823-1893) ,"Les sculptures grecque, romaine, française. Camaïeux. Dans les tympans.",S. de Mécène
27,* ,"Biennoury, Victor-François-Eloi.", (1823-1893) ,"L'empire romain, l'empire français. Camaïeux. Dans les tympans.",S. d'Auguste
28,23 ,"Blain ou Belin de Fontenay, Jean-Baptiste.", (1653- 1715). ,"Vase d'or, fleurs et fruits",S. Meubles XVIIe
