,Unnamed: 0,number,author,life,title,position,width,height,image_url
0,0,* ,"['alaux', 'jean']", (1786-1864'). ,poussin arrivant de rome est présenté par richelieu au roi louis xiii plafond,Ire S. de la Céramique antique,,,
1,1,* ,"['alaux', 'jean']", (1786-1864'). ,douze médaillons d'or représentant les travaux d' hercule voussures,Ire S. de la Céramique antique,,,
2,2,2 ,"['aligny', 'claude', 'françois', 'théodore', 'caruelle', ""d'""]", (r 798- 1871). ,une villa itajienne,VIII-E,,,
3,3,S. N° ,"['amaury', 'duval']", (1808-1885). ,portrait de mille x,Palier esc.T.T.,,,
4,4,9 ,"['aved', 'andré', 'joseph']", (1702-1766). ,portrait du marquis de mirabeau,XVI-S,,,
5,5,* ,"['balze', 'paul', 'jean', 'etienne']", (1815-1884) ,et balze raymond joseph antoine  1818 1909 homère déifié d'après ingres plafond,"Musée Charles X Salle IX Baptiste, J.-B. Monnoyer dit. Voir Monnoyer.",,,
6,6,2800 ,"['barye', 'antoine', 'louis']", (1795-1875). ,lions près de leur antre,T. T.,49.5±0.1 centimetre,38.5±0.1 centimetre,https://upload.wikimedia.org/wikipedia/commons/8/8c/Antoine-Louis_Barye_-_Lions_near_their_Den_-_WGA1390.jpg
7,7,(209) ,"['barye', 'antoine', 'louis']", (1795-1875). ,tigre cherchant une proie aquarelle,Coll. Camondo,,,
8,8,"S. N"" ","['barye', 'antoine', 'louis']", (1795-1875). ,portrait d'une fille de l'artiste,S. Barye,,,
9,9,"S. N"" ","['barye', 'antoine', 'louis']", (1795-1875). ,le jean de paris forêt de fontainebleau,S. Barye,38.5±0.1 Q174728,30.5±0.1 Q174728,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000038/01-019254.jpg
10,10,"S. N"" ","['barye', 'antoine', 'louis']", (1795-1875). ,combat de cerfs,S. Barye,31.5±0.1 centimetre,25±1 centimetre,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000037/09-583443.jpg
11,11,"S. N"" ","['barye', 'antoine', 'louis']", (1795-1875). ,lion mangeant,S. Barye,,,
12,12,11 a ,"['bastien', 'lepage', 'jules']", (1848-1884). ,portrait de henri wallon,E. F. XIX S. 2e étage II,,,
13,13,S. N° ,"['bastien', 'lepage', 'jules']", (1848-1884). ,portrait d'edouard prince de galles plus tard edouard vii,E. F. XIX S. 2e étage II,,,
14,14,12 ,"['baugin', 'lubin']", (vers 1610-1663). ,la sainte famille,XIV-S,,,
15,15,12 a ,"['bellangé', 'hippolyte']", (1800-1866) ,et dauzats adrien 1804 1868 — une revue sous l'empire aux tuileries,E. F. XIXe S. 2e étage II,,,
16,16,995 ,"['bellechose', 'henri']"," (travaillait à Dijon de 1415 à 1431, mort vers 1440). ",la dernière communion et le martyre de saint denis premier évêque de paris,"E. F. XIXe , , , X",,,
17,17,13 a ,"['bellegambe', 'jean']", (I4 70 ? - 1535). ,saint adrien attribué,X,,,
18,18,13 b ,"['belloc', 'jean', 'hilaire']", (1786-1866). ,portrait de mille belloc et de sa fille dans le fond le peintre lui même,Esc. T. T.,,,
19,19,14 ,"['belly', 'léon', 'auguste', 'adolphe']", (1827-1N77). ,pèlerins allant à la mecque,E. F. XIXe S. 2e étage II,,,
20,20,14 a ,"['belly', 'léon', 'auguste', 'adolphe']", (1827-1N77). ,vue du nil,E. F. XIXe S. 2e étage II,,,
21,21,14 b ,"['belly', 'léon', 'auguste', 'adolphe']", (1827-1N77). ,pêcheurs le soir,E. F. XIXe S. 2e étage II,,,
22,22,16 ,"['benoist', 'marie', 'guilhelmine']", (r 768- l 86). ,portrait d'une négresse,II-E,,,
23,23,17 ,"['benouville', 'françois', 'léon']", (1821-1859». ,saint françois d'assise transporté mourant à saintemarie des anges bénit la ville d'assise,VIII-0,,,
24,24,20 ,"['bidault', 'jean', 'joseph', 'xavier']", (1758-1846). ,vue prise de subiaco,E. F. XIXe S. 1er étage I,,,
25,25,21 ,"['bidault', 'jean', 'joseph', 'xavier']", (1758-1846). ,vue d'avezzano et du lac de celano,E. F. XIXe S. 1er étage I,,,
