,author,life,title,width,height,wall,position,image_path
0,Alaux jean, (1786-1864'). ,poussin arrivant de rome est présenté par richelieu au roi louis xiii plafond,,,,Céramique antique I,
1,Alaux jean, (1786-1864'). ,douze médaillons d'or représentant les travaux d' hercule voussures,,,,Céramique antique I,
2,"Aligny claude françois théodore caruelle ""d""", (r 798- 1871). ,une villa itajienne,,,E,VIII,data/images_paintings/2.jpg
3,Amaury duval, (1808-1885). ,portrait de mille x,,,,Esc T T,
4,Aved andré joseph, (1702-1766). ,portrait du marquis de mirabeau,,,S,XVI,
5,Balze paul jean etienne, (1815-1884) ,et balze raymond joseph antoine  1818 1909 homère déifié d'après ingres plafond,,,,Musée Charles X S IX,
6,Barye antoine louis, (1795-1875). ,lions près de leur antre,49.5,38.5,,T T,data/images_paintings/6.jpg
7,Barye antoine louis, (1795-1875). ,tigre cherchant une proie aquarelle,,,,Musée Charles X S III,
8,Barye antoine louis, (1795-1875). ,portrait d'une fille de l'artiste,,,,S Barye,
9,Barye antoine louis, (1795-1875). ,le jean de paris forêt de fontainebleau,38.5,30.5,,S Barye,data/images_paintings/9.jpg
10,Barye antoine louis, (1795-1875). ,combat de cerfs,31.5,25.0,,S Barye,data/images_paintings/10.jpg
11,Barye antoine louis, (1795-1875). ,lion mangeant,,,,S Barye,
12,Bastien lepage jules, (1848-1884). ,portrait de henri wallon,,,,Musée Charles X S III,
13,Bastien lepage jules, (1848-1884). ,portrait d'edouard prince de galles plus tard edouard vii,,,,Musée Charles X S III,
14,Baugin lubin, (vers 1610-1663). ,la sainte famille,,,S,XIV,
15,Bellangé hippolyte, (1800-1866) ,et dauzats adrien 1804 1868 — une revue sous l'empire aux tuileries,,,,E F XIXe S 2e étage II,
16,Bellechose henri," (travaillait à Dijon de 1415 à 1431, mort vers 1440). ",la dernière communion et le martyre de saint denis premier évêque de paris,,,,Musée Charles X S III,data/images_paintings/16.jpg
17,Bellegambe jean, (I4 70 ? - 1535). ,saint adrien attribué,,,,X,
18,Belloc jean hilaire, (1786-1866). ,portrait de mille belloc et de sa fille dans le fond le peintre lui même,,,,Esc T T,
19,Belly léon auguste adolphe, (1827-1N77). ,pèlerins allant à la mecque,,,,E F XIXe S 2e étage II,
20,Belly léon auguste adolphe, (1827-1N77). ,vue du nil,,,,E F XIXe S 2e étage II,
21,Belly léon auguste adolphe, (1827-1N77). ,pêcheurs le soir,,,,E F XIXe S 2e étage II,
22,Benoist marie guilhelmine, (r 768- l 86). ,portrait d'une négresse,,,E,II,
