,number,author,life,title,width,height,image_url,wall,position,image_path
0, ,Alaux jean, (1786-1864'). ,poussin arrivant de rome est présenté par richelieu au roi louis xiii plafond,,,,,Céramique antique I,
1, ,Alaux jean, (1786-1864'). ,douze médaillons d'or représentant les travaux d' hercule voussures,,,,,Céramique antique I,
2,2 ,"Aligny claude françois théodore caruelle ""d""", (r 798- 1871). ,une villa itajienne,,,,E,VIII,data/images_paintings/2.jpg
3,S N ,Amaury duval, (1808-1885). ,portrait de mille x,,,,,Esc T T,
4,9 ,Aved andré joseph, (1702-1766). ,portrait du marquis de mirabeau,,,,S,XVI,
5, ,Balze paul jean etienne, (1815-1884) ,et balze raymond joseph antoine  1818 1909 homère déifié d'après ingres plafond,,,,,Musée Charles X S IX,
6,2800 ,Barye antoine louis, (1795-1875). ,lions près de leur antre,49.5,38.5,https://upload.wikimedia.org/wikipedia/commons/8/8c/Antoine-Louis_Barye_-_Lions_near_their_Den_-_WGA1390.jpg,,T T,data/images_paintings/6.jpg
7,209,Barye antoine louis, (1795-1875). ,tigre cherchant une proie aquarelle,,,,,Musée Charles X S III,
8,S N ,Barye antoine louis, (1795-1875). ,portrait d'une fille de l'artiste,,,,,S Barye,
9,S N ,Barye antoine louis, (1795-1875). ,le jean de paris forêt de fontainebleau,38.5,30.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000038/01-019254.jpg,,S Barye,data/images_paintings/9.jpg
10,S N ,Barye antoine louis, (1795-1875). ,combat de cerfs,31.5,25.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000037/09-583443.jpg,,S Barye,data/images_paintings/10.jpg
11,S N ,Barye antoine louis, (1795-1875). ,lion mangeant,,,,,S Barye,
12,11 a ,Bastien lepage jules, (1848-1884). ,portrait de henri wallon,,,,,Musée Charles X S III,
13,S N ,Bastien lepage jules, (1848-1884). ,portrait d'edouard prince de galles plus tard edouard vii,,,,,Musée Charles X S III,
14,12 ,Baugin lubin, (vers 1610-1663). ,la sainte famille,,,,S,XIV,
15,12 a ,Bellangé hippolyte, (1800-1866) ,et dauzats adrien 1804 1868 — une revue sous l'empire aux tuileries,,,,,E F XIXe S 2e étage II,
16,995 ,Bellechose henri," (travaillait à Dijon de 1415 à 1431, mort vers 1440). ",la dernière communion et le martyre de saint denis premier évêque de paris,,,,,Musée Charles X S III,data/images_paintings/16.jpg
17,13 a ,Bellegambe jean, (I4 70 ? - 1535). ,saint adrien attribué,,,,,X,
